  2 SZ AQL    V1561 AQL   19 04 39.56 +01 22 18.0   290.0      1
  4 SZ AQL    V1569 AQL   19 04 55.82 +01 21 29.6   413.0      1
  9 SZ AQL    V1570 AQL   19 05 04.61 +01 16 03.5   260.3      1
 10 SZ AQL                19 04 31.87 +01 20 15.5 >=350.      
  5 FM AQL                19 09 31.36 +10 35 07.7 >=400.      
 15 FM AQL                19 09 03.41 +10 32 29.3  ~223.      
 22 FM AQL                19 09 34.51 +10 30 21.7 >=300.      
 22 V0336 AQL             19 01 20.65 +00 04 33.3 >=320.      
  7 V0600 AQL             19 21 09.68 +08 32 02.4 >=250.      
 10 V0600 AQL             19 20 56.08 +08 33 22.1 >=400.      
 17 V0600 AQL             19 21 00.21 +08 30 34.9 >=220.      
  5 V0916 AQL             19 10 19.34 +12 34 01.3 >=450.      
  6 V1344 AQL V1426 AQL a 19 12 12.01 +04 23 41.5     1.175147 2
  7 V1344 AQL             19 12 13.21 +04 16 54.5 >=450.      
 12 V1344 AQL             19 11 54.89 +04 25 22.8 >=220.      
 32 V1344 AQL             19 12 20.96 +04 17 49.3 >=450.      
  3 AO AUR    Kiso C2-66b 05 48 03.07 +32 03 19.6  ~150.      
 16 CF CAS    QX CAS    c 23 58 43.16 +61 09 39.5     6.004709 3
  5 RS CAS                23 37 41.62 +62 21 18.8    55.      
  8 FM CAS                00 14 46.95 +56 11 32.0 >=320.      
  1 SU CYG                19 45 02.09 +29 15 06.3  ~160.      
 20 SU CYG                19 45 18.23 +29 13 09.7  ~216.      
 26 SU CYG                19 44 54.74 +29 20 29.8  ~350.      
  1 VZ CYG    V0673 CYG   21 51 37.74 +43 09 58.6   325.5      4
  6 EZ CYG    V2222 CYG   19 57 52.75 +30 11 53.9   176.      
 18 EZ CYG                19 57 49.62 +30 18 18.3 >=281.      
  1 GH CYG                19 59 35.96 +29 26 31.3 >=240.      
 11 GH CYG                19 59 18.67 +29 22 51.5 >=240.      
  3 KX CYG                20 24 16.34 +40 38 04.6 >=200.      
  7 MW CYG                20 12 32.33 +32 49 03.8 >=240.      
  3 V0438 CYG             20 19 16.66 +40 04 04.7 >=270.      
 28 V0438 CYG             20 19 15.18 +40 03 57.3 >=350.      
 11 V0495 CYG             20 16 11.19 +35 01 39.5 >=270.      
  1 V1364 CYG V1422 CYG   20 07 52.84 +35 18 57.4 >=120.      
  4 V1467 CYG             20 04 05.74 +32 29 28.3 >=230.      
 14 V1467 CYG             20 04 05.94 +32 25 55.8 >=220.      
 80 SV MON    V0615 MON   06 21 53.85 +06 26 27.1  ~127.      
 11 AC MON    BB MON    a 07 01 16.48 -08 41 42.5     1.4654   2
 11 WZ SGR                18 17 29.32 -19 07 25.5 >=215.      
 74 WZ SGR                18 16 54.43 -19 01 30.5 >=250.      
 77 WZ SGR                18 17 17.68 -19 00 02.5 >=250.      
  2 AY SGR                18 23 41.67 -18 39 20.9 >=215.      
110 AY SGR                18 23 35.30 -18 36 37.3 >=215.      
 29 AY SGR                18 23 23.41 -18 38 42.2 >=230.      
505 AY SGR                18 23 06.14 -18 36 39.0  ~190.      
168 AY SGR                18 23 36.73 -18 34 48.6  ~118.      
 29 X SCT                 18 31 29.13 -13 11 14.9 >=200.      
 37 X SCT                 18 31 41.59 -13 10 48.1 >=350.      
 56 X SCT                 18 31 31.56 -13 10 33.4 >=320.      
 60 X SCT                 18 31 16.55 -13 11 59.2 >=400.      
 77 X SCT                 18 31 47.20 -13 06 19.7  ~230.      
  6 Y SCT                 18 38 15.54 -08 18 22.8 >=400.      
  7 Y SCT                 18 37 54.36 -08 17 40.8 >=400.      
 18 Y SCT                 18 38 07.98 -08 24 32.6 >=200.      
 25 Y SCT                 18 37 54.89 -08 17 06.9 >=400.      
 35 Y SCT                 18 38 31.16 -08 19 09.2 >=500.      
 37 Y SCT                 18 38 31.14 -08 23 17.8 >=320.      
 60 Y SCT                 18 37 55.13 -08 20 27.9 >=500.      
 73 Y SCT                 18 38 02.34 -08 24 03.1 >=400.      
  4 Z SCT     StRS 248    18 43 19.31 -05 50 02.4 >=200.       5
  6 Z SCT                 18 43 20.93 -05 51 25.7 >=400.      
 13 Z SCT                 18 42 52.35 -05 46 26.6    74.65    
 17 Z SCT                 18 43 12.12 -05 44 16.3 >=400.      
 19 Z SCT                 18 43 19.23 -05 47 19.8 >=500.      
 34 Z SCT                 18 42 44.47 -05 44 50.2 >=500.      
 73 Z SCT                 18 43 06.24 -05 51 11.5 >=500.      
 99 Z SCT                 18 42 50.37 -05 54 09.1 >=300.      
  2 RU SCT                18 41 52.63 -04 07 24.2 >=350.      
  6 SS SCT                18 44 05.02 -07 44 50.9 >=400.      
 28 SS SCT                18 44 03.84 -07 38 33.8 >=350.      
 51 SS SCT                18 43 35.38 -07 47 35.0 >=300.      
  4 UZ SCT                18 31 18.58 -12 57 18.6 >=400.      
  6 UZ SCT                18 31 30.38 -12 51 36.7 >=400.      
 10 UZ SCT                18 31 12.85 -12 51 34.1 >=320.      
 34 UZ SCT                18 31 19.93 -12 59 20.1 >=350.      
  7 CK SCT                18 40 46.68 -06 04 14.9 >=220.      
  9 CK SCT                18 40 47.76 -06 06 55.0 >=400.      
 10 CK SCT                18 41 07.90 -06 05 26.1 >=220.      
 13 CK SCT                18 41 25.27 -06 03 16.2 >=220.      
 17 CK SCT                18 41 18.03 -06 09 17.7 >=350.      
 25 CK SCT                18 41 18.33 -06 08 19.0 >=300.      
 28 CK SCT                18 40 51.59 -06 02 47.0 >=400.      
 42 CK SCT                18 41 20.47 -06 01 37.9 >=400.      
 43 CK SCT                18 40 47.18 -06 08 36.1 >=200.      
 46 CK SCT                18 41 20.38 -06 11 46.9 >=500.      
 52 CK SCT                18 41 03.94 -06 09 05.8 >=300.      
 60 CK SCT                18 41 07.28 -06 08 35.6 >=200.      
 61 CK SCT                18 41 27.45 -06 07 15.9 >=200.      
 22 AA SER                18 41 17.74 -01 07 05.1 >=300.      
  5 CR SER                18 10 30.51 -13 31 53.1 >=220.      
  2 X VUL                 19 57 52.59 +26 31 00.6 >=300.      
  8 AS VUL                19 47 47.48 +27 53 23.7 >=202.      
  8 BR VUL                19 46 40.09 +22 53 27.7   246.      
